dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype
HCL,,"SRGN, AZU1, MPO, MS4A3, RNASE2, ELANE, DEFA4, CTSG, PRTN3, ARHGDIB",Neutrophil,neutrophil,CL:0000775,granulocyte
HCL,,"FTL, CD74, HLA-DRA, CTSD, C1QB, FTH1, C1QA, GRN, HLA-DPA1, APOC1",M2 Macrophage,alternatively activated macrophage,CL:0000890,macrophage/monocyte
HCL,,"PGC, PGA5, LIPF, PGA3, CYSTM1, MT1G, CXCL17, MT1E, MUC1, AZGP1",Gastric chief cell,peptic cell,CL:0000155,epithelial cell
HCL,,"CD1B, RP11-144L1.4, CD1E, KIAA0101, NDUFB3, TRDC, GMFG, RP11-620J15.3, FABP5, CBX3",Proliferating T cell,,,t/nk cell
HCL,,"AGR2, CYSTM1, LYZ, MUC1, TFF2, TPT1, PSCA, ANXA10, CLDN18, MUC6",Goblet cell,goblet cell,CL:0000160,epithelial cell
HCL,,"ATP6V1G3, TMEM213, RTN4, ATP6AP2, ATP6V0D2, CA12, NDUFA4, CYSTM1, FXYD2, LITAF",Intercalated cell,renal intercalated cell,CL:0005010,epithelial cell
HCL,,"WFDC2, PIGR, SLPI, AZGP1, TACSTD2, CXCL17, KRT7, CLDN4, KRT19, CD24",Stratified epithelial cell,stratified epithelial cell,CL:0000079,epithelial cell
HCL,,"S100P, S100A6, RPS27, S100A11, RPL31, RPL34, SPINK1, RPS6, B2M, ADIRF",Epithelial cell (intermediated),epithelial cell,CL:0000066,epithelial cell
HCL,,"FCN3, CCL5, HLA-B, MYL12A, CRHBP, IFITM2, IFITM3, MS4A6A, S100A4, HLA-C",Sinusoidal endothelial cell,endothelial cell of hepatic sinusoid,CL:1000398,endothelial cell
HCL,,"RPS6, RPS19, RPS18, RPS4X, RPS3A, RPS14, RPS23, RPL11, RPS16, RPS3",Primordial germ cell,primordial germ cell,CL:0000670,germ cell
HCL,,"RPS9, RPL36A, GAS5, BTF3, NPM1, SNHG5, ZFAS1, STMN1, SLC25A6, RPS3A",Fetal skeletal muscle cell,cell of skeletal muscle,CL:0000188,muscle cell
HCL,,"EPAS1, LUM, FN1, DCN, HLA-B, SPARCL1, HLA-E, SPARC, CAV1, IFITM3",Endothelial cell (endothelial to mesenchymal transition),valve endothelial cell,CL:4030033,endothelial cell
HCL,,"S100A2, KRT5, SFN, KRT17, AQP3, SERPINB5, KRT15, KRT6A, KRT14, FGFBP1",Basal cell,basal cell,CL:0000646,stem cell
HCL,,"GPM6A, MT3, C1orf61, SLC1A3, CLU, CKB, ATP1A2, SPARCL1, ALDOC, SCD5",Astrocyte,astrocyte,CL:0000127,astrocyte
HCL,,"SPINK1, DLK1, RBPJ, MEG3, CPA2, RBP1, HNRNPA1, XIST, CD24, SERPINA1",Fetal acinar cell,acinar cell,CL:0000622,epithelial cell
HCL,,"MYL7, ACTC1, TNNT2, MYL2, MYL3, TPM1, TNNC1, PLN, CSRP3, TNNI3",Ventricle cardiomyocyte,ventricular cardiac muscle cell,CL:2000046,muscle cell
HCL,,"ITLN1, SLPI, HP, PRG4, ADIRF, TPT1, CPB1, TIMP1, C3, MT1E",Mesothelial cell,mesothelial cell,CL:0000077,epithelial cell
HCL,,"DEFB1, LDHB, FXYD2, CD24, POU3F3, ITM2C, SLC12A1, BEX3, COX7B, WFDC2",Ureteric bud cell,,,ureteric bud cell
HCL,,"AFP, FTL, LDHB, GPX3, SMIM24, CUBN, ATPIF1, HSPA5, RIDA, APOM",Proximal tubule progenitor,,,progenitor cell
HCL,,"KLK3, AZGP1, MSMB, SAT1, PLPP1, DHRS7, TACSTD2, TSPAN1, KLK2, KRT18",Gastric endocrine cell,enteroendocrine cell,CL:0000164,secretory cell
HCL,,"TPSB2, CPA3, TPSAB1, SRGN, RGS2, RGS1, NFKBIA, GLUL, VIM, ANXA1",Mast cell,mast cell,CL:0000097,granulocyte
HCL,,"GLIPR1L1, KRT18, SLIRP, GAL, OCIAD2, ATP5G3, UCHL1, PRDX4, MIR302B, RPS2P46",hESC,embryonic stem cell,CL:0002322,stem cell
HCL,,"CHGA, TTR, ALDH1A1, ERO1B, CPE, SCG5, BEX1, EPCAM, SCGN, HDC",Fetal endocrine cell,endocrine cell,CL:0000163,secretory cell
HCL,,"MIR202HG, BEX1, ZFAND5, RNASE1, COL1A2, APOA1, AMH, SERPINA5, FSCN1, GSTA1",Immature sertoli cell (Pre-Sertoli cell),,,epithelial cell
HCL,,"CCL5, CYP17A1, BTG1, CXCR4, GZMB, HLA-C, SRGN, CST7, CREM, ARHGDIB",Myeloid cell,myeloid cell,CL:0000763,myeloid cell
HCL,,"S100B, GPM6B, PLP1, ANXA2, TUBA1A, STMN1, SPARC, CRABP1, TUBA1B, VIM",Fetal Neuron,neuron,CL:0000540,neuron
HCL,,"FN1, MT2A, HAPLN1, C2orf40, CYTL1, ACAN, CTGF, SCRG1, SOD2, A2M",Chondrocyte,chondrocyte,CL:0000138,stromal cell
HCL,,"ACP5, SPP1, MMP9, CTSK, CST3, CSTB, COX7B, RGS10, S100A4, ATP6V1G1",Kidney intercalated cell,kidney connecting tubule intercalated cell,CL:4030019,epithelial cell
HCL,,"THRSP, FABP4, RBP4, G0S2, CHCHD10, DGAT2, COX5B, RPLP2, COX4I1, UQCRQ",Adrenal gland inflammatory cell,adrenal gland glandular cell,CL:1001601,epithelial cell
