dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype
Azimuth,Bone Marrow,"SPIC,FABP3,CD5L,CCL18,C1QC,C1QB,FABP4,C1QA,APOE,SELENOP",Macrophage,macrophage,CL:0000235,macrophage/monocyte
Azimuth,Bone Marrow,"AVP,CRHBP,C1QTNF4,BEX1,NPR3,CD34,NPW,SMIM24,CSF3R,NPDC1",Lymphoid Primed Multipotent Progenitor,early lymphoid progenitor,CL:0000936,progenitor cell
Azimuth,Bone Marrow,"CTSE,TSPO2,IFIT1B,TMEM56,RHCE,RHAG,SPTA1,ADD2,EPCAM,HBG1",Late Erythroid,,,erythroid cell
Azimuth,Bone Marrow,"LDB2,CD160,XCL2,KLRB1,XCL1,KLRF1,KLRD1,KLRC1,TRDC,GZMM",Innate Lymphoid Cell,innate lymphoid cell,CL:0001065,innate lymphoid cell
Azimuth,Bone Marrow,"HDC,MS4A2,TPSAB1,TPSB2,CLC,CPA3,MS4A3,IL1RL1,PRG2,HPGDS",Basophil Eosinophil Mast Progenitor,basophil mast progenitor cell,CL:0002028,progenitor cell
Azimuth,Bone Marrow,"AXL,SCT,LILRA4,PPP1R14A,TGFBI,UPK3A,SCN9A,CLEC10A,PROC,PLD4",AXL+ Dendritic Cell,,,dendritic cell
Azimuth,Bone Marrow,"SH2D1B,PRSS23,S1PR5,LAIR2,KLRC1,PTGDR,FGFBP2,FCRL6,TBX21,KLRC2",Natural Killer,natural killer cell,CL:0000623,t/nk cell
Azimuth,Fetal Development,"CHGA, PCSK1N, GNAS, ERO1LB, CPE, INS, CADPS, TTR, MEIS2, MAFB",Islet endocrine cells,,,secretory cell
Azimuth,Fetal Development,"NRXN3, MEIS2, CADM2, ZNF385D, RORB, DCC, SYT1, DSCAM, MIR181A1HG, RP11-689K5.3",Amacrine cells,amacrine cell,CL:0000561,neuron
Azimuth,Fetal Development,"ERBB4, NRXN1, LRP1B, NLGN1, LPHN3, CCSER1, PCDH9, UNC5C, STXBP5L, GRIA2",Unipolar brush cells,unipolar brush cell,CL:4023161,neuron
Azimuth,Fetal Development,"CEL, SPINK1, CPA1, CTRB2, CLPS, SYCN, CPA2, GP2, CTRB1, DLK1",Acinar cells,acinar cell,CL:0000622,epithelial cell
Azimuth,Fetal Development,"DACH1, PAX2, EYA1, HMGA2, GPC3, TRABD2B, ITGA8, PTPN14, WT1, BMPER",Metanephric cells,,,kidney cell
Azimuth,Fetal Development,"IGF2, SLC4A4, DLK1, ATP1B1, CFTR, FXYD2, JUN, CLU, SPINK1, H3F3B",Ductal cells,pancreatic ductal cell,CL:0002079,epithelial cell
Azimuth,Fetal Development,"ERBB4, GRIK2, RELN, NRG1, KCND2, CNTN5, NRXN1, SYT1, ROBO2, NELL2",Granule neurons,granule cell,CL:0000120,neuron
Azimuth,Fetal Development,"NRXN3, RORB, CNTN4, ONECUT1, TNR, MEGF10, MEGF11, ONECUT2, CACNG3, TFAP2B",Horizontal cells,retina horizontal cell,CL:0000745,neuron
Azimuth,Fetal Development,"TENM3, FBN2, ARL15, EGFR, KANK1, ZFAT, SVEP1, RHOBTB1, RP11-30J20.1, MBNL3",Syncytiotrophoblasts and villous cytotrophoblasts,"syncytiotrophoblast cell,placental villous trophoblast","CL:0000525,CL:2000060",extraembryonic cell
Azimuth,Fetal Development,"TRPM1, TYR, COL8A1, SLC38A11, LINC00276, BEST1, RP11-690J15.1, RPE65, TYRP1, PMEL",Retinal pigment cells,retinal pigment epithelial cell,CL:0002586,epithelial cell
Azimuth,Fetal Development,"GPC3, KIAA1217, PALLD, MEIS2, MEIS1, FLRT2, TNC, NR2F2, KIF26B, CCBE1",Mesangial cells,mesangial cell,CL:0000650,pericyte
Azimuth,Fetal Development,"COL4A2, COL3A1, COL1A1, CALD1, NOTCH3, COL6A3, BGN, RGS5, PDGFRB, ITGA1",Smooth muscle cells,smooth muscle cell,CL:0000192,muscle cell
Azimuth,Fetal Development,"PCSK5, APOA1, C10orf112, RAB11FIP1, LGALS3, ARID3A, THRB, CPS1, MYH14, HNF4A",Intestinal epithelial cells,intestinal epithelial cell,CL:0002563,epithelial cell
Azimuth,Fetal Development,"NRXN3, CCSER1, CTNNA2, RBFOX1, LRRC7, MYT1L, GRIN2B, GRM5, RP11-85M11.2, MIR137HG",Inhibitory neurons,,,neuron
Azimuth,Fetal Development,"TTN, MYL7, TNNT2, TPM1, ACTC1, SLC8A1, TNNC1, MYL4, MYH7, TNNI1",Cardiomyocytes,cardiac muscle cell,CL:0000746,muscle cell
Azimuth,Fetal Development,"MPO, ALB, RNF220, ITGA4, RP5-964N17.1, RUNX1, ANGPT1, ARHGAP15, IQGAP2, GPR141",Hematopoietic stem cells,hematopoietic stem cell,CL:0000037,stem cell
Azimuth,Fetal Development,"CLDN18, SPINK1, RAB11FIP1, AGR2, MUC6, LYZ, ELF3, GPRC5A, PPARG, PIK3C2G",Goblet cells,goblet cell,CL:0000160,epithelial cell
Azimuth,Fetal Development,"RAG1, CCL19, HLA-DRA, CD74, CLNK, HLA-DRB1, HLA-DPB1, BIRC3, WDFY4, CIITA",Antigen presenting cells,professional antigen presenting cell,CL:0000145,antigen presenting cell
Azimuth,Fetal Development,"RP11-114G22.1, PRSS16, TBATA, FAM163A, AC005042.5, FOXN1, PAX1, MIR205HG, LY75, NEURL2",Thymic epithelial cells,epithelial cell of thymus,CL:0002293,epithelial cell
Azimuth,Fetal Development,"CSH1, PAPPA, ADAM12, CYP19A1, TFPI2, CSH2, CGA, PSG1, KISS1, FBLN1",Trophoblast giant cells,trophoblast giant cell,CL:0002488,extraembryonic cell
Azimuth,Fetal Development,"CRYBB1, CRYAA, CRYBB2, CRYBA4, CRYBA1, CRYGC, BFSP1, LIM2, MIP, BFSP2",Lens fibre cells,lens fiber cell,CL:0011004,epithelial cell
Azimuth,Fetal Development,"DAB1, GRID2, RORA, AUTS2, BAI3, NRG1, EBF1, GRIK1, FOXP2, LPHN2",Purkinje neurons,Purkinje cell,CL:0000121,neuron
Azimuth,Fetal Development,"S100A9, LYPD2, LCN2, MUC4, SLPI, KRT4, CP, MUC16, CEACAM6, MUC15",Corneal and conjunctival epithelial cells,,,epithelial cell
Azimuth,Fetal Development,"GRP, SEC11C, ASCL1, GHRL, TPH1, HEPACAM2, TFF3, MS4A8, LINC00261, DDC",Neuroendocrine cells,neuroendocrine cell,CL:0000165,epithelial cell
Azimuth,Fetal Development,"GRIK1, FSTL5, ZNF385B, ZNF804B, CA10, ZPBP, FAM19A4, VSX2, TRPC7, SLC1A7",Bipolar cells,,,neuron
Azimuth,Fetal Development,"COL25A1, IGFBP3, ALB, NR1H4, HHIP, CCBE1, HGF, COLEC11, COLEC10, PTH1R",Stellate cells,,,fibroblast
Azimuth,Fetal Development,"ESRRG, IGFBP5, FGD4, ATP4B, ATP4A, CLDN18, GIF, ARHGEF28, CLIC6, IGFBP2",Parietal and chief cells,"parietal cell,NA","CL:0000162,NA",epithelial cell
Azimuth,Fetal Development,"C3, PRG4, CCDC80, SULF1, ITLN1, RP11-572C15.6, MSLN, CFH, AP000705.7, PLA2G2A",Epicardial fat cells,epicardial adipocyte,CL:1000309,fat cell
Azimuth,Fetal Development,"CDHR3, DNAH12, CAPS, TPPP3, LRRIQ1, C4orf22, STK33, DNAH9, AGBL4, RP11-56A10.1",Ciliated epithelial cells,ciliated epithelial cell,CL:0000067,epithelial cell
Azimuth,Fetal Development,"PRPH, SLC5A7, SLC18A3, PIRT, SST, RP11-466P24.7, CHRNA3, GAL, RGS4, PHOX2B",Visceral neurons,visceromotor neuron,CL:0005025,neuron
Azimuth,Fetal Development,"KCNQ5, EML5, ELAVL4, PHOX2B, MIR137HG, RP11-348J24.2, CNGB1, PRPH, FAM163A, NOS1",ENS neurons,enteric neuron,CL:0007011,neuron
Azimuth,Fetal Development,"FN1, FLT1, ISM2, NOTUM, PAPPA2, PRG2, ADAM12, FSTL3, QSOX1, SERPINE2",Extravillous trophoblasts,extravillous trophoblast,CL:0008036,extraembryonic cell
Azimuth,Fetal Development,"KRT19, KRT13, RAB11FIP1, ANXA1, S100A6, DSP, ELF3, PITX1, AQP3, KRT5",Squamous epithelial cells,squamous epithelial cell,CL:0000076,epithelial cell
Azimuth,Fetal Development,"LEF1, BCL11B, CALN1, TFDP2, ARHGAP15, THEMIS, SATB1, IKZF2, RUNX1, TCF7",Thymocytes,thymocyte,CL:0000893,t/nk cell
Azimuth,Fetal Development,"MPZ, OLFML2A, PLP1, CDH19, SOX10, FOXD3, S100B, INSC, ABCA8, NGFR",Schwann cells,Schwann cell,CL:0002573,glial cell
Azimuth,Fetal Development,"RORB, LGR4, SORCS1, GALNT13, CLVS1, CRB1, ILDR2, FAM184B, ADAMTS18, RP11-89K21.1",Retinal progenitors and Muller glia,"retinal progenitor cell,Mueller cell","CL:0002672,CL:0000636","progenitor cell,radial glial cell"
Azimuth,Fetal Development,"ALB, AFP, APOA1, APOA2, SERPINA1, APOB, HBA1, AHSG, IGF2, HBG2",Hepatoblasts,hepatoblast,CL:0005026,stem cell
Azimuth,Fetal Development,"LTBP1, ITGB3, ITGA2B, PF4, THBS1, PLEK, MED12L, PRKAR2B, RUNX1, ARHGAP6",Megakaryocytes,megakaryocyte,CL:0000556,megakaryocyte
Azimuth,Fetal Development,"ANK2, CADM2, KCNIP4, ROBO2, NRG3, CTNNA2, MDGA2, EPHA6, RALYL, EBF1",Ganglion cells,retinal ganglion cell,CL:0000740,neuron
Azimuth,Fetal Development,"COL1A1, COL3A1, COL1A2, DCN, COL6A2, COL5A1, COL5A2, IGF2, SPARC, VCAN",Stromal cells,stromal cell,CL:0000499,stromal cell
Azimuth,Fetal Development,"STAR, CYP17A1, SCARB1, DLK1, DHCR24, FDX1, CYP11A1, LDLR, RBM47, SH3BP5",Adrenocortical cells,cortical cell of adrenal gland,CL:0002097,epithelial cell
Azimuth,Fetal Development,"CD74, SRGN, SAMHD1, CST3, AOAH, SLC9A9, CTSB, RBM47, LGMN, FTL",Myeloid cells,myeloid cell,CL:0000763,myeloid cell
Azimuth,Fetal Development,"ATP11A, CPM, MECOM, SFTPB, SFTPC, FGFR2, SFTA3, ETV5, ROS1, WIF1",Bronchiolar and alveolar epithelial cells,,,epithelial cell
Azimuth,Fetal Development,"LDB2, FLT1, COL4A2, COL4A1, PTPRM, IGFBP7, HSPG2, TCF4, PTPRB, EPAS1",Vascular endothelial cells,endothelial cell of vascular tree,CL:0002139,endothelial cell
Azimuth,Fetal Development,"CLCN5, OLFML2A, NEB, MATN2, MEGF10, FLNC, PAX7, FGFR4, CDH15, CALCR",Satellite cells,skeletal muscle satellite cell,CL:0000594,progenitor cell
Azimuth,Fetal Development,"NPAS3, PTN, GRID2, LSAMP, GPM6A, SLC1A3, QKI, BAI3, CTNND2, PTPRZ1",Astrocytes,astrocyte,CL:0000127,astrocyte
Azimuth,Fetal Development,"CHGA, CHGB, DPP6, FGF14, RGS5, AGBL4, CACNA2D3, DBH, SLC24A2, SLC18A1",Sympathoblasts,,,progenitor cell
Azimuth,Fetal Development,"MECOM, NAALADL2, PKHD1, INADL, PAX8, GATA3, COBLL1, BMPR1B, DCDC2, PAX2",Ureteric bud cells,,,ureteric bud cell
Azimuth,Fetal Development,"CCL21, TFPI, STAB2, PROX1, RELN, EFNA5, IGFBP7, CD36, MMRN1, LYVE1",Lymphatic endothelial cells,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell
Azimuth,Fetal Development,"PTPRD, NTNG1, RNF220, CNTNAP2, NRXN1, TENM2, RIMS2, RBFOX1, ERC2, MEG3",Limbic system neurons,,,neuron
Azimuth,Fetal Development,"PLXDC2, SPP1, DOCK4, SFMBT2, FRMD4A, SLC9A9, ITPR2, DOCK8, APBB1IP, IPCEF1",Microglia,microglial cell,CL:0000129,microglia
Azimuth,Fetal Development,"AP000705.7, C3, SULF1, ALDH1A2, HHIP, MSLN, LINC00842, TFPI2, PTPRQ, SBSPON",Mesothelial cells,mesothelial cell,CL:0000077,epithelial cell
Azimuth,Fetal Development,"TTN, MYH3, NEB, MYLPF, TPM2, MYL1, ACTC1, ACTA1, TNNC2, TNNT3",Skeletal muscle cells,cell of skeletal muscle,CL:0000188,muscle cell
Azimuth,Fetal Development,"SLC35F1, ZNF536, GFRA1, CDH19, PLP1, PRIMA1, COL20A1, SOX10, MPZ, INSC",ENS glia,,,glial cell
Azimuth,Fetal Development,"RBFOX1, PTPRD, ROBO2, LRRC7, NRXN1, DLGAP1, GPM6A, NKAIN2, SOX5, TMEM108",Excitatory neurons,,,neuron
Azimuth,Fetal Development,"PTPRC, ARHGAP15, B2M, PABPC1, SKAP1, LCP1, HLA-B, FAM65B, ETS1, CD247",Lymphoid cells,lymphocyte,CL:0000542,lymphocyte
Azimuth,Fetal Development,"CADM2, MARCH1, SYT1, EYS, RORB, FSTL5, GALNT13, MPPED2, CADPS, ZNF385B",Photoreceptor cells,photoreceptor cell,CL:0000210,neuron
Azimuth,Fetal Development,"COL3A1, POSTN, VIM, CDH11, HSPG2, EMCN, FN1, CALCRL, ENG, HMCN1",Endocardial cells,endocardial cell,CL:0002350,endothelial cell
Azimuth,Fetal Development,"LSAMP, CSMD1, LHFPL3, KCND2, PCDH15, CADM2, PTPRZ1, LRRC4C, OPCML, LRP1B",Oligodendrocytes,oligodendrocyte,CL:0000128,oligodendrocyte
Azimuth,Fetal Development,"RBFOX1, RGS5, STMN2, CACNA2D3, CHGB, KCNQ5, ALCAM, BMPR1B, CHGA, DBH",Chromaffin cells,chromaffin cell,CL:0000166,epithelial cell
Azimuth,Fetal Development,"NRXN3, UNC5C, XKR4, NRXN1, NKAIN2, GRID2, CSMD1, ADARB2, ANKS1B, MSRA",Inhibitory interneurons,inhibitory interneuron,CL:0000498,neuron
Azimuth,Fetal Development,"HBG2, HBA1, HBA2, HBG1, SLC25A37, ANK1, TFRC, CD36, EPB41, SPTA1",Erythroblasts,erythroblast,CL:0000765,erythroid cell
Azimuth,Heart,"SLC24A3, IL18R1, CPA3, NTM, KIT, SLC8A3, SLC38A11, CDK15, HPGDS, RAB27B",Mast,mast cell,CL:0000097,granulocyte
Azimuth,Heart,"DCN, APOD, ACSM3, CFD, ABCA9, NEGR1, LAMA2, ABCA6, ABCA8, KAZN",Fibroblast,fibroblast,CL:0000057,fibroblast
Azimuth,Heart,"KIT, IL18R1, RD3, CPA3, SLC38A11, SLC8A3, TPSAB1, HDC, MS4A2, OR8A1",ILC,innate lymphoid cell,CL:0001065,innate lymphoid cell
Azimuth,Heart,"CCL21, MMRN1, RELN, PKHD1L1, SEMA3A, PPFIBP1, TFPI, SNTG2, EFNA5, PROX1",Lymphatic Endothelial,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell
Azimuth,Heart,"F13A1, RBPJ, MRC1, CD163, COLEC12, RBM47, FMN1, MS4A6A, STAB1, FRMD4B",Macrophage,macrophage,CL:0000235,macrophage/monocyte
Azimuth,Heart,"ITLN1, PDZRN4, SLC39A8, PRG4, GFPT2, C3, KCNT2, WWC1, HAS1, RBFOX1",Mesothelial,mesothelial cell,CL:0000077,epithelial cell
Azimuth,Heart,"IL7R, THEMIS, ITK, PARP8, CAMK4, SKAP1, TC2N, BCL11B, PTPRC, PRKCQ",T,T cell,CL:0000084,t/nk cell
Azimuth,Heart,"NRXN1, NRXN3, CADM2, XKR4, CDH19, ADGRB3, CHL1, NCAM2, KIRREL3, SORCS1",Neuronal,neuron,CL:0000540,neuron
Azimuth,Heart,"GNLY, NKG7, CD247, TXK, KLRD1, CCL4, CCL5, AOAH, PRF1, PARP8",NK,natural killer cell,CL:0000623,t/nk cell
Azimuth,Heart,"RGS5, ABCC9, GUCY1A2, EGFLAM, DLC1, FRMD3, PDGFRB, AGT, PLA2G5, EPS8",Pericyte,pericyte,CL:0000669,pericyte
Azimuth,Heart,"MYH11, ITGA8, ACTA2, CARMN, KCNAB1, TAGLN, ZFHX3, PRKG1, NTRK3, RCAN2",Smooth Muscle,smooth muscle cell,CL:0000192,muscle cell
Azimuth,Heart,"TPO, ACKR1, TSHZ2, RAMP3, FAM155A, ABCB1, CALCRL, CYYR1, IGFBP5, EPHB4, NPP2",Venous Endothelial,vein endothelial cell,CL:0002543,endothelial cell
Azimuth,Heart,"FHL2, RYR2, MLIP, TTN, CTNNA3, RBM20, FGF12, SLC8A1, MYOM1, MYH7, MYL2",Ventricular Cardiomyocyte,ventricular cardiac muscle cell,CL:2000046,muscle cell
Azimuth,Heart,"PCDH15, EGFL7, NRG3, LEPR, NRG1, POSTN, PCDH7, TMEM132C, CDH11, TMEM108",Endocardial,endocardial cell,CL:0002350,endothelial cell
Azimuth,Heart,"S100A8, S100A9, CD163, MSR1, SLC11A1, FMN1, RBM47, ITGAX, ADAM28, FLT3, CD74",Monocyte/cDC,"monocyte,conventional dendritic cell","CL:0000576,CL:0000990","macrophage/monocyte,dendritic cell"
Azimuth,Heart,"BTNL9, FABP5, IFI27, RGCC, F8, MGLL, CA4, ADGRF5, ABLIM3, FLT1",Capillary Endothelial,,,endothelial cell
Azimuth,Heart,"MYRIP, POSTN, NRG3, LDB2, SLCO2A1, ANO2, VWF, FAM155A, IL1R1, KCNIP4",Endothelial,endothelial cell,CL:0000115,endothelial cell
Azimuth,Heart,"LINC00639, ARL15, MECOM, IGFBP3, PCSK5, TM4SF1, EFNB2, DLL4, HEY1, GJA5",Arterial Endothelial,endothelial cell of artery,CL:1000413,endothelial cell
Azimuth,Heart,"GPAM, ACACB, GHR, PDE3B, FASN, PRKAR2B, MGST1, PLIN1, LINC00598, SLC19A3",Adipocyte,fat cell,CL:0000136,fat cell
Azimuth,Heart,"IGKC, IGHM, IGHA1, AFF3, BANK1, IFNG-AS1, GNG7, MZB1, RALGPS2, MS4A1",B,B cell,CL:0000236,b cell
